Make,Country
Acura,Japan
Alfa_Romeo,Italy
Aston_Martin,England
Audi,Germany
Bentley,England
BMW,Germany
Bugatti,France
Buick,US
Cadillac,US
Chevrolet,US
Chrysler,US
Dodge,US
Ferrari,Italy
FIAT,Italy
Ford,US
Genesis,South Korea
GMC,US
Honda,Japan
HUMMER,US
Hyundai,South Korea
Infiniti,Japan
Kia,South Korea
Lamborghini,Italy
Land_Rover,England
Lexus,Japan
Lincoln,US
Lotus,England
Maserati,Italy
Maybach,Germany
Mazda,Japan
McLaren,England
Mercedes-Benz,Germany
Mitsubishi,Japan
Nissan,Japan
Oldsmobile,US
Plymouth,US
Pontiac,US
Porsche,Germany
Rolls-Royce,England
Saab,Sweden
Scion,Japan
Spyker,Netherlands
Subaru,Japan
Suzuki,Japan
Tesla,US
Toyota,Japan
Volkswagen,Germany
Volvo,Sweden
